id,gw,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,first_name,second_name,web_name
11,3,90,1,0,0,0,0,0,0,1,0,0,1,0.45,0.12,0.57,0.8,56.7,45.6,67.8,17.0,,,1,2,4,7,11,Son,Heung-min,Son
12,1,90,0,0,1,0,0,0,0,0,0,0,1,0.03,0.02,0.05,0.3,28.9,18.9,12.3,6.0,,,,8,15,22,45,Ruben,Dias,Dias
12,2,90,0,0,1,0,0,0,0,0,0,0,1,0.02,0.03,0.05,0.4,34.5,23.4,15.6,7.4,,,,6,12,20,38,Ruben,Dias,Dias
12,3,90,0,0,0,2,0,0,0,0,0,0,1,0.04,0.01,0.05,1.5,23.4,15.6,10.2,4.9,,,,7,10,18,35,Ruben,Dias,Dias
13,1,90,0,0,0,1,0,0,0,0,0,0,1,0.23,0.34,0.57,1.0,45.6,56.7,34.5,13.7,,,2,3,6,14,Phil,Foden,Foden
13,2,90,1,1,0,0,0,0,0,0,0,0,1,0.56,0.67,1.23,0.5,78.9,89.2,67.8,23.6,2,3,,1,2,4,10,Phil,Foden,Foden
13,3,90,0,0,1,0,0,0,0,0,0,0,1,0.18,0.28,0.46,0.4,56.7,67.8,45.6,17.0,3,4,,3,4,7,16,Phil,Foden,Foden
14,1,90,0,0,1,0,0,0,0,0,0,5,1,0.01,0.01,0.02,0.4,28.9,12.3,8.9,5.0,,,,2,4,8,14,Ederson,Moraes,Ederson
14,2,90,0,0,1,0,0,0,0,0,0,3,1,0.02,0.02,0.04,0.3,34.5,15.6,10.2,6.0,,,,3,5,10,18,Ederson,Moraes,Ederson
14,3,90,0,0,0,1,0,0,0,0,0,4,1,0.01,0.01,0.02,0.8,23.4,10.1,7.8,4.1,,,,4,6,12,22,Ederson,Moraes,Ederson
15,1,90,0,1,0,1,0,0,0,0,0,0,1,0.12,0.56,0.68,1.1,34.5,78.9,28.9,14.2,3,4,,2,2,5,12,James,Maddison,Maddison
15,2,90,1,0,0,0,0,0,0,0,0,0,1,0.45,0.23,0.68,0.6,56.7,45.6,56.7,15.9,2,2,,3,3,6,14,James,Maddison,Maddison
15,3,90,0,1,1,0,0,0,0,0,0,0,1,0.18,0.45,0.63,0.4,45.6,67.8,34.5,14.8,3,3,,2,1,7,15,James,Maddison,Maddison
